i,urlpath,Username,Country,State,City,img_url,review_count
24,/USA/Arizona/Phoenix/mollybanks,mollybanks,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:b06309a9-82c5-48e6-8435-42c1e063f405/6D82D351-D02E-4D95-BF66-90598A1B33D9.jpeg,22
25,/USA/Arizona/Phoenix/Morenoolivia707,Morenoolivia707,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:035a92a4-6c47-4be3-a588-562a7c05c3a4/6088AA53-1963-4E64-8A89-1E389F53FCBB.jpeg,29
26,/USA/Arizona/Phoenix/lavisas93,lavisas93,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:78033d84-d1d3-41dc-937a-6463c248042f/IMG_0793.JPG,4
27,/USA/Arizona/Phoenix/sofiabellissima,sofiabellissima,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:9ee55214-7842-49e8-926a-eff3d1cc4142/IMG_0046.JPG,9
28,/USA/Arizona/Phoenix/LucyAnderson,LucyAnderson,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:de9aefe3-bc3c-4f08-b128-04871893c74f/LucyBlur12.jpg,1
29,/USA/Arizona/Phoenix/ElizabethPaigeAZ,ElizabethPaigeAZ,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:bc4d7f56-6020-4f22-8820-94402b493551/E1905C70-CD63-48AC-AA7E-951B67922507.jpeg,1
30,/USA/Arizona/Phoenix/JadeLove79,JadeLove79,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:4db79b06-0b88-4858-8998-f33d4adca632/BE0BEBFE-2F97-49E2-9397-5F85BC8F7BD8.jpeg,123
31,/USA/Arizona/Phoenix/VeronicaMellow,VeronicaMellow,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:d19bd819-b78a-4843-b78f-5f579513788a/99A33E49-771F-44A2-BE99-DC0911F7D287.png,68
32,/USA/Arizona/Phoenix/TheAubreyRose,TheAubreyRose,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:ab203f8f-e365-42ed-908d-50e865f9ac35/B84892B3-8D69-4E08-9229-569E97551EAF.jpeg,6
33,/USA/Arizona/Phoenix/NovaLove,NovaLove,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:51e301b9-a827-4a11-8011-b18c68e89069/1FACBF64-4F3A-46B8-8365-9B4C05200C6F.jpeg,11
